Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Date,Time,is_day,GHI
2019,1,1,0,0,12.5,0,0,0,3,7.7,0,0,0,0.281,72.35,152.94,0.16,1016,1.5,201,2.2,1/1/2019,0:00:00,0,0
2019,1,1,0,30,12.4,0,0,0,1,7.7,0,0,0,0.28,72.83,146.59,0.16,1016,1.5,204,2.2,1/1/2019,0:30:00,0,0
2019,1,1,1,0,12.3,0,0,0,1,7.7,0,0,1,0.28,73.76,140.18,0.16,1015,1.5,206,2.2,1/1/2019,1:00:00,0,0
2019,1,1,1,30,12.3,0,0,0,0,7.7,0,0,0,0.28,73.76,133.77,0.16,1015,1.5,209,2.3,1/1/2019,1:30:00,0,0
2019,1,1,2,0,12.2,0,0,0,0,7.9,0,0,0,0.279,74.87,127.37,0.16,1015,1.5,212,2.3,1/1/2019,2:00:00,0,0
2019,1,1,2,30,12.2,0,0,0,0,7.9,0,0,0,0.279,74.87,121.02,0.16,1015,1.5,215,2.3,1/1/2019,2:30:00,0,0
2019,1,1,3,0,12.1,0,0,0,0,8,0,0,0,0.278,75.95,114.74,0.16,1015,1.5,217,2.4,1/1/2019,3:00:00,0,0
2019,1,1,3,30,11.9,0,0,0,0,8,0,0,0,0.278,76.95,108.53,0.16,1015,1.5,220,2.4,1/1/2019,3:30:00,0,0
2019,1,1,4,0,11.8,0,0,0,0,8.1,0,0,0,0.277,78,102.42,0.16,1016,1.5,223,2.5,1/1/2019,4:00:00,0,0
2019,1,1,4,30,12,0,0,0,0,8.1,0,0,0,0.277,76.98,96.45,0.16,1016,1.4,226,2.7,1/1/2019,4:30:00,0,0
2019,1,1,5,0,12.3,0,0,0,0,8.2,0,0,0,0.277,76.3,90.05,0.16,1016,1.4,228,3,1/1/2019,5:00:00,1,0
2019,1,1,5,30,13.1,34,250,56,0,8.3,34,250,0,0.277,72.42,84.84,0.16,1016,1.4,229,3.5,1/1/2019,5:30:00,1,56
2019,1,1,6,0,13.9,54,482,142,0,8.3,54,482,0,0.278,68.86,79.53,0.16,1017,1.4,229,4,1/1/2019,6:00:00,1,142
2019,1,1,6,30,14.9,69,616,234,1,8.3,69,616,0,0.279,64.56,74.47,0.16,1017,1.3,231,4.1,1/1/2019,6:30:00,1,234
2019,1,1,7,0,15.9,78,711,324,1,7.7,78,711,0,0.28,58.33,69.75,0.16,1017,1.3,232,4.2,1/1/2019,7:00:00,1,324
2019,1,1,7,30,16.7,86,770,405,1,7.7,86,770,0,0.28,55.44,65.48,0.16,1017,1.3,235,4.4,1/1/2019,7:30:00,1,405
2019,1,1,8,0,17.5,92,810,475,1,7,92,810,0,0.281,49.99,61.73,0.16,1016,1.3,237,4.6,1/1/2019,8:00:00,1,475
2019,1,1,8,30,17.8,96,838,533,0,7,96,838,0,0.281,49.05,58.63,0.16,1016,1.3,239,4.8,1/1/2019,8:30:00,1,533
2019,1,1,9,0,18,108,834,571,1,6.7,108,834,0,0.281,47.5,56.27,0.16,1016,1.3,241,4.9,1/1/2019,9:00:00,1,571
2019,1,1,9,30,18.2,110,846,598,0,6.7,110,846,0,0.282,46.86,54.76,0.16,1015,1.3,243,5,1/1/2019,9:30:00,1,598
2019,1,1,10,0,18.3,116,836,606,1,6.6,116,836,0,0.282,46.43,54.16,0.16,1015,1.3,245,5.1,1/1/2019,10:00:00,1,606
2019,1,1,10,30,18.3,116,833,600,1,6.6,116,833,0,0.282,46.43,54.52,0.16,1015,1.3,246,5.1,1/1/2019,10:30:00,1,600
2019,1,1,11,0,18.3,121,807,575,2,6.7,251,266,0,0.282,46.65,55.8,0.16,1015,1.3,248,5.1,1/1/2019,11:00:00,1,400
2019,1,1,11,30,18.3,117,785,534,1,6.7,117,785,0,0.282,46.65,57.95,0.16,1015,1.4,249,5,1/1/2019,11:30:00,1,534
2019,1,1,12,0,18.2,122,728,476,1,6.7,122,728,0,0.282,47.1,60.87,0.16,1015,1.4,249,4.8,1/1/2019,12:00:00,1,476
2019,1,1,12,30,18,114,685,410,1,6.7,114,685,0,0.283,47.69,64.46,0.16,1015,1.4,248,4.6,1/1/2019,12:30:00,1,410
2019,1,1,13,0,17.8,109,604,330,2,6.7,147,51,0,0.283,48.32,68.61,0.16,1015,1.4,248,4.4,1/1/2019,13:00:00,1,166
2019,1,1,13,30,17.1,95,517,244,1,6.7,95,517,0,0.283,50.5,73.22,0.16,1015,1.4,245,3.6,1/1/2019,13:30:00,1,244
2019,1,1,14,0,16.4,78,374,154,0,7.3,78,374,0,0.283,55.04,78.21,0.16,1015,1.4,243,2.9,1/1/2019,14:00:00,1,154
2019,1,1,14,30,15.6,48,192,69,0,7.4,48,192,0,0.283,57.97,83.47,0.16,1016,1.4,238,2.7,1/1/2019,14:30:00,1,69
2019,1,1,15,0,14.8,9,6,9,0,7.6,9,6,0,0.283,62.14,88.79,0.16,1016,1.4,234,2.6,1/1/2019,15:00:00,1,9
2019,1,1,15,30,14.6,0,0,0,0,7.6,0,0,0,0.283,62.94,94.94,0.16,1016,1.4,229,2.7,1/1/2019,15:30:00,0,0
2019,1,1,16,0,14.4,0,0,0,0,7.7,0,0,0,0.284,63.96,100.88,0.16,1016,1.4,225,2.8,1/1/2019,16:00:00,0,0
2019,1,1,16,30,14.2,0,0,0,0,7.7,0,0,0,0.284,64.79,106.95,0.16,1016,1.4,222,2.9,1/1/2019,16:30:00,0,0
2019,1,1,17,0,14,0,0,0,0,7.7,0,0,0,0.285,65.7,113.14,0.16,1016,1.4,219,3.1,1/1/2019,17:00:00,0,0
2019,1,1,17,30,13.8,0,0,0,0,7.7,0,0,0,0.285,66.55,119.41,0.16,1016,1.4,218,3.3,1/1/2019,17:30:00,0,0
2019,1,1,18,0,13.7,0,0,0,0,7.7,0,0,0,0.286,67.07,125.74,0.16,1016,1.4,216,3.4,1/1/2019,18:00:00,0,0
2019,1,1,18,30,13.5,0,0,0,0,7.7,0,0,0,0.286,67.95,132.12,0.16,1016,1.4,216,3.6,1/1/2019,18:30:00,0,0
2019,1,1,19,0,13.3,0,0,0,0,7.7,0,0,0,0.286,68.89,138.53,0.16,1016,1.4,215,3.7,1/1/2019,19:00:00,0,0
2019,1,1,19,30,13.1,0,0,0,0,7.7,0,0,0,0.287,69.72,144.94,0.16,1015,1.4,217,3.9,1/1/2019,19:30:00,0,0
2019,1,1,20,0,13,0,0,0,4,7.8,0,0,0,0.287,70.47,151.32,0.16,1015,1.4,218,4.1,1/1/2019,20:00:00,0,0
2019,1,1,20,30,12.9,0,0,0,4,7.8,0,0,0,0.287,70.93,157.58,0.16,1015,1.4,221,4.3,1/1/2019,20:30:00,0,0
2019,1,1,21,0,12.7,0,0,0,4,7.9,0,0,0,0.287,72.72,163.59,0.16,1015,1.4,224,4.5,1/1/2019,21:00:00,0,0
2019,1,1,21,30,12.6,0,0,0,3,7.9,0,0,0,0.287,73.2,168.84,0.16,1015,1.4,227,4.5,1/1/2019,21:30:00,0,0
2019,1,1,22,0,12.5,0,0,0,0,8.2,0,0,0,0.287,75.25,171.75,0.16,1015,1.4,230,4.6,1/1/2019,22:00:00,0,0
2019,1,1,22,30,12.3,0,0,0,0,8.2,0,0,0,0.287,76.24,169.97,0.16,1015,1.5,232,4.4,1/1/2019,22:30:00,0,0
2019,1,1,23,0,12.1,0,0,0,0,8.5,0,0,0,0.287,78.4,165.1,0.16,1014,1.5,233,4.2,1/1/2019,23:00:00,0,0
2019,1,1,23,30,12.1,0,0,0,0,8.5,0,0,0,0.287,78.4,159.23,0.16,1014,1.5,233,4.2,1/1/2019,23:30:00,0,0
2019,1,2,0,0,11.7,0,0,0,0,8.5,0,0,0,0.286,80.65,153.01,0.16,1014,1.5,232,4.1,1/2/2019,0:00:00,0,0
2019,1,2,0,30,11.6,0,0,0,0,8.5,0,0,0,0.286,81.19,146.66,0.16,1014,1.6,230,4.1,1/2/2019,0:30:00,0,0
2019,1,2,1,0,11.5,0,0,0,0,8.5,0,0,0,0.286,81.84,140.25,0.16,1014,1.6,229,4.2,1/2/2019,1:00:00,0,0
2019,1,2,1,30,11.4,0,0,0,0,8.5,0,0,0,0.286,82.3,133.84,0.16,1013,1.6,228,4.2,1/2/2019,1:30:00,0,0
2019,1,2,2,0,11.3,0,0,0,0,8.6,0,0,0,0.286,83.51,127.44,0.16,1013,1.6,228,4.3,1/2/2019,2:00:00,0,0
2019,1,2,2,30,11.3,0,0,0,0,8.6,0,0,0,0.285,83.51,121.09,0.16,1013,1.6,228,4.3,1/2/2019,2:30:00,0,0
2019,1,2,3,0,11.2,0,0,0,0,8.8,0,0,0,0.285,85.2,114.8,0.16,1013,1.6,228,4.3,1/2/2019,3:00:00,0,0
2019,1,2,3,30,11.1,0,0,0,0,8.8,0,0,0,0.285,85.77,108.59,0.16,1013,1.6,227,4.2,1/2/2019,3:30:00,0,0
2019,1,2,4,0,11,0,0,0,0,9,0,0,0,0.285,87.58,102.48,0.16,1013,1.6,227,4.2,1/2/2019,4:00:00,0,0
2019,1,2,4,30,11.2,0,0,0,0,9,0,0,0,0.286,86.51,96.5,0.16,1014,1.6,227,4.5,1/2/2019,4:30:00,0,0
2019,1,2,5,0,11.5,0,0,0,0,9.2,0,0,0,0.286,85.93,90.08,0.16,1014,1.6,226,4.8,1/2/2019,5:00:00,1,0
2019,1,2,5,30,12.1,36,23,38,1,9.2,36,23,0,0.287,82.6,84.88,0.16,1014,1.6,226,5.1,1/2/2019,5:30:00,1,38
2019,1,2,6,0,12.7,89,119,111,2,9.1,49,0,3,0.287,78.97,79.56,0.16,1014,1.6,225,5.5,1/2/2019,6:00:00,1,49
2019,1,2,6,30,13.5,132,231,194,3,9.1,87,0,0,0.289,74.96,74.49,0.16,1014,1.6,226,5.8,1/2/2019,6:30:00,1,87
2019,1,2,7,0,14.3,168,306,274,1,8.6,168,306,0,0.29,68.56,69.76,0.16,1014,1.6,228,6.1,1/2/2019,7:00:00,1,274
2019,1,2,7,30,14.8,192,379,349,2,8.6,179,120,0,0.292,66.39,65.47,0.16,1014,1.6,229,6.5,1/2/2019,7:30:00,1,229
2019,1,2,8,0,15.4,216,410,410,1,8,216,410,0,0.294,61.18,61.71,0.16,1014,1.5,230,6.8,1/2/2019,8:00:00,1,410
2019,1,2,8,30,15.6,230,450,465,1,7.9,230,450,0,0.296,60.35,58.59,0.16,1013,1.5,230,7.1,1/2/2019,8:30:00,1,465
2019,1,2,9,0,15.8,222,523,513,1,7.2,222,523,0,0.299,56.76,56.22,0.16,1013,1.5,230,7.4,1/2/2019,9:00:00,1,513
2019,1,2,9,30,16,227,540,539,1,7.2,227,540,0,0.301,55.99,54.69,0.16,1012,1.5,228,7.5,1/2/2019,9:30:00,1,539
2019,1,2,10,0,16.1,242,515,544,1,6.7,242,515,0,0.303,53.68,54.08,0.16,1012,1.5,227,7.7,1/2/2019,10:00:00,1,544
2019,1,2,10,30,16.3,241,513,540,2,6.7,268,224,0,0.303,53.01,54.42,0.16,1012,1.4,227,7.8,1/2/2019,10:30:00,1,398
2019,1,2,11,0,16.6,253,457,511,2,6.4,257,228,0,0.304,50.88,55.69,0.16,1011,1.4,226,7.9,1/2/2019,11:00:00,1,386
2019,1,2,11,30,16.6,244,433,475,2,6.4,244,160,0,0.305,50.88,57.83,0.16,1011,1.4,227,7.9,1/2/2019,11:30:00,1,329
2019,1,2,12,0,16.7,215,433,427,2,6.2,216,97,0,0.305,49.81,60.74,0.16,1011,1.4,227,8,1/2/2019,12:00:00,1,264
2019,1,2,12,30,16.5,198,382,363,2,6.2,176,44,0,0.306,50.45,64.33,0.16,1011,1.4,228,7.8,1/2/2019,12:30:00,1,195
2019,1,2,13,0,16.3,191,233,277,2,6.2,147,46,0,0.307,51.12,68.48,0.16,1011,1.4,229,7.7,1/2/2019,13:00:00,1,164
2019,1,2,13,30,15.9,152,156,197,4,6.2,77,0,0,0.309,52.43,73.09,0.16,1011,1.5,230,7.1,1/2/2019,13:30:00,1,77
2019,1,2,14,0,15.5,97,46,107,7,6.5,97,46,5,0.311,55.16,78.07,0.16,1011,1.5,230,6.5,1/2/2019,14:00:00,1,107
2019,1,2,14,30,15.1,33,5,34,4,6.6,21,0,3,0.313,56.64,83.33,0.16,1012,1.6,230,6,1/2/2019,14:30:00,1,21
2019,1,2,15,0,14.6,0,0,0,4,7.2,0,0,5,0.315,61.26,88.67,0.16,1012,1.6,230,5.6,1/2/2019,15:00:00,1,0
2019,1,2,15,30,14.3,0,0,0,4,7.2,0,0,0,0.316,62.45,94.8,0.16,1012,1.6,230,5.3,1/2/2019,15:30:00,0,0
2019,1,2,16,0,14.1,0,0,0,4,8,0,0,0,0.317,66.56,100.74,0.16,1012,1.6,230,5.1,1/2/2019,16:00:00,0,0
2019,1,2,16,30,13.9,0,0,0,4,8,0,0,0,0.316,67.43,106.82,0.16,1012,1.6,230,5.2,1/2/2019,16:30:00,0,0
2019,1,2,17,0,13.7,0,0,0,4,8.7,0,0,0,0.316,71.66,113,0.16,1013,1.7,230,5.2,1/2/2019,17:00:00,0,0
2019,1,2,17,30,13.5,0,0,0,0,8.7,0,0,0,0.315,72.6,119.27,0.16,1013,1.7,229,5.1,1/2/2019,17:30:00,0,0
2019,1,2,18,0,13.3,0,0,0,0,9.2,0,0,0,0.313,76.37,125.61,0.16,1013,1.7,229,5,1/2/2019,18:00:00,0,0
2019,1,2,18,30,13.2,0,0,0,4,9.2,0,0,0,0.311,76.87,131.99,0.16,1013,1.7,229,4.9,1/2/2019,18:30:00,0,0
2019,1,2,19,0,13,0,0,0,4,9.8,0,0,1,0.308,80.68,138.4,0.16,1013,1.7,230,4.8,1/2/2019,19:00:00,0,0
2019,1,2,19,30,12.9,0,0,0,1,9.8,0,0,1,0.305,81.2,144.81,0.16,1013,1.8,232,4.8,1/2/2019,19:30:00,0,0
2019,1,2,20,0,12.9,0,0,0,1,10.2,0,0,0,0.301,83.93,151.18,0.16,1013,1.8,235,4.8,1/2/2019,20:00:00,0,0
2019,1,2,20,30,13.1,0,0,0,1,10.2,0,0,0,0.296,82.84,157.45,0.16,1013,1.8,240,4.9,1/2/2019,20:30:00,0,0
2019,1,2,21,0,13.3,0,0,0,0,10.7,0,0,0,0.291,84.03,163.45,0.16,1013,1.9,244,5.1,1/2/2019,21:00:00,0,0
2019,1,2,21,30,13.6,0,0,0,0,10.7,0,0,1,0.289,82.41,168.71,0.16,1013,1.9,250,5.1,1/2/2019,21:30:00,0,0
2019,1,2,22,0,13.9,0,0,0,3,11,0,0,0,0.286,82.71,171.64,0.16,1014,1.9,255,5.1,1/2/2019,22:00:00,0,0
2019,1,2,22,30,14.1,0,0,0,0,11,0,0,0,0.285,81.65,169.95,0.16,1014,1.8,259,5.3,1/2/2019,22:30:00,0,0
2019,1,2,23,0,14.3,0,0,0,1,11.3,0,0,0,0.284,81.95,165.14,0.16,1014,1.8,263,5.4,1/2/2019,23:00:00,0,0
2019,1,2,23,30,14.3,0,0,0,1,11.3,0,0,0,0.284,81.95,159.28,0.16,1014,1.8,263,5.4,1/2/2019,23:30:00,0,0
2019,1,3,0,0,14.5,0,0,0,3,11.5,0,0,0,0.284,81.99,153.07,0.18,1015,1.7,267,5.3,1/3/2019,0:00:00,0,0
2019,1,3,0,30,14.5,0,0,0,3,11.5,0,0,0,0.284,81.99,146.72,0.18,1015,1.7,267,5.2,1/3/2019,0:30:00,0,0
2019,1,3,1,0,14.5,0,0,0,4,11.5,0,0,0,0.285,82.4,140.32,0.18,1015,1.6,267,5.1,1/3/2019,1:00:00,0,0
2019,1,3,1,30,14.4,0,0,0,0,11.5,0,0,0,0.285,82.94,133.9,0.18,1015,1.6,265,5,1/3/2019,1:30:00,0,0
